"","Contains fear","excitement"
"a.i",0.285408139228821,0.714591920375824
"ability",0.150423631072044,0.849576413631439
"account",0.556954562664032,0.443045496940613
"accounts",0.575434565544128,0.424565464258194
"adjustable",0.578804671764374,0.421195298433304
"admitted",0.233749225735664,0.766250789165497
"adoption",0.0979232937097549,0.902076661586761
"advanced",0.0635812729597092,0.936418771743774
"advances",0.0219006165862083,0.978099346160889
"advisors",0.349849581718445,0.650150418281555
"affording",0.0814581364393234,0.918541848659515
"ai",0.144244596362114,0.85575544834137
"ai.s",0.227829769253731,0.77217024564743
"aim",0.216082572937012,0.783917427062988
"alongside",0.131352379918098,0.868647634983063
"altman",0.297548890113831,0.702451109886169
"amazed",0.406798958778381,0.593201041221619
"analysis",0.585486829280853,0.414513140916824
"analyst",0.805580973625183,0.1944190710783
"apple",0.109664864838123,0.890335142612457
"apply",0.293617248535156,0.706382751464844
"apps",0.156087726354599,0.843912243843079
"apr",0.226465716958046,0.77353423833847
"arguably",0.152233064174652,0.847766876220703
"arm",0.215439736843109,0.784560263156891
"artificial",0.270759344100952,0.729240715503693
"authoritarian",0.527503252029419,0.472496777772903
"automate",0.213738471269608,0.78626149892807
"average",0.445097148418427,0.554902851581573
"awareness",0.372748672962189,0.627251386642456
"bad",0.892328977584839,0.107671022415161
"balance",0.173872768878937,0.826127290725708
"bank",0.213609591126442,0.786390364170074
"banking",0.550149977207184,0.449850082397461
"bear",0.434191823005676,0.565808236598969
"bit",0.293202698230743,0.706797301769257
"bnpl",0.371443837881088,0.628556191921234
"bonds",0.357183873653412,0.642816126346588
"bonuses",0.0510132201015949,0.948986768722534
"boost",0.0123357838019729,0.987664222717285
"broad",0.164556711912155,0.835443258285522
"budgeting",0.538149058818817,0.461850881576538
"build",0.10576368868351,0.894236326217651
"building",0.0348668582737446,0.965133130550385
"bull",0.503066122531891,0.496933847665787
"business",0.0987657979130745,0.901234209537506
"businesses",0.205630034208298,0.79436993598938
"buy",0.158334866166115,0.841665089130402
"called",0.410575360059738,0.589424669742584
"capabilities",0.431100308895111,0.568899691104889
"car",0.184608742594719,0.815391302108765
"card",0.179508730769157,0.820491313934326
"cards",0.209957644343376,0.790042340755463
"cash",0.44569331407547,0.55430668592453
"cautioned",0.926723837852478,0.0732761770486832
"cds",0.286635518074036,0.713364541530609
"center",0.201381132006645,0.798618853092194
"ceo",0.199793115258217,0.8002068400383
"chatbot",0.191775634884834,0.808224320411682
"chatgpt",0.402643471956253,0.597356557846069
"cheapest",0.100266091525555,0.89973396062851
"checking",0.414185851812363,0.585814118385315
"chipmaker",0.222244262695312,0.777755677700043
"civilization",0.207317039370537,0.792682945728302
"cnbc",0.258460104465485,0.741539895534515
"competitive",0.0332477614283562,0.966752290725708
"concerns",0.961028695106506,0.0389712490141392
"confidential",0.658064603805542,0.341935366392136
"consolidation",0.373830109834671,0.626169919967651
"contemporary",0.273364275693893,0.726635754108429
"control",0.298286825418472,0.70171320438385
"credit",0.163638964295387,0.836360991001129
"data",0.422135710716248,0.577864229679108
"debt",0.845881342887878,0.154118657112122
"deepmind",0.38985612988472,0.610143899917603
"delayed",0.728389918804169,0.271610081195831
"delivered",0.239449620246887,0.760550379753113
"develop",0.0738242492079735,0.926175773143768
"development",0.0816031396389008,0.918396830558777
"difficult",0.849178194999695,0.150821834802628
"discussion",0.326263576745987,0.673736453056335
"discussions",0.24684002995491,0.753159940242767
"division",0.866598308086395,0.133401691913605
"earnings",0.087498813867569,0.912501156330109
"elon",0.255728483200073,0.744271516799927
"eric",0.284469842910767,0.715530097484589
